Benchmark,Base,Changed
2to3,25965363.20,25965363.20
async_generators,26660249.60,26660249.60
async_tree_cpu_io_mixed,75986944.00,75986944.00
async_tree_cpu_io_mixed_tg,81617305.60,81617305.60
async_tree_eager,13816012.80,13816012.80
async_tree_eager_cpu_io_mixed,30768742.40,30768742.40
async_tree_eager_cpu_io_mixed_tg,26826342.40,26826342.40
async_tree_eager_io,129082777.60,129082777.60
async_tree_eager_io_tg,134100582.40,134100582.40
async_tree_eager_memoization,38843392.00,38843392.00
async_tree_eager_memoization_tg,31108710.40,31108710.40
async_tree_eager_tg,13807206.40,13807206.40
async_tree_io,122420633.60,122420633.60
async_tree_io_tg,129064550.40,129064550.40
async_tree_memoization,68345651.20,68345651.20
async_tree_memoization_tg,57717964.80,57717964.80
async_tree_none,64493772.80,64493772.80
async_tree_none_tg,80291225.60,80291225.60
asyncio_tcp,41192243.20,41192243.20
asyncio_tcp_ssl,65124966.40,65124966.40
asyncio_websockets,54552166.40,54552166.40
bench_mp_pool,8941158.40,8941158.40
bench_thread_pool,10161971.20,10161971.20
chameleon,18852044.80,18852044.80
chaos,9558835.20,9558835.20
comprehensions,10280755.20,10280755.20
coroutines,8331878.40,8331878.40
coverage,15519334.40,15519334.40
create_gc_cycles,8576204.80,8576204.80
crypto_pyaes,9021849.60,9021849.60
dask,74273177.60,74273177.60
deepcopy,9889792.00,9889792.00
deepcopy_memo,9859686.40,9859686.40
deepcopy_reduce,9798451.20,9798451.20
deltablue,10103193.60,10103193.60
django_template,31068774.40,31068774.40
docutils,49353932.80,49353932.80
dulwich_log,14776524.80,14776524.80
fannkuch,8365465.60,8365465.60
float,19459686.40,19459686.40
gc_traversal,12356812.80,12356812.80
generators,17089126.40,17089126.40
genshi_text,11361894.40,11361894.40
genshi_xml,11296358.40,11296358.40
go,9385984.00,9385984.00
hexiom,9535488.00,9535488.00
html5lib,14333747.20,14333747.20
json_dumps,8690278.40,8690278.40
json_loads,8609587.20,8609587.20
logging_format,10075545.60,10075545.60
logging_silent,9211699.20,9211699.20
logging_simple,9371033.60,9371033.60
mako,16637542.40,16637542.40
mdp,18026086.40,18026086.40
meteor_contest,10738892.80,10738892.80
nbody,8584601.60,8584601.60
nqueens,8697651.20,8697651.20
pathlib,10546585.60,10546585.60
pickle,9146368.00,9146368.00
pickle_dict,9152307.20,9152307.20
pickle_list,9312460.80,9312460.80
pickle_pure_python,9176883.20,9176883.20
pidigits,8740044.80,8740044.80
pprint_pformat,23932928.00,23932928.00
pprint_safe_repr,20203929.60,20203929.60
pyflate,49358848.00,49358848.00
python_startup,13336576.00,13336576.00
python_startup_no_site,13316915.20,13316915.20
raytrace,9562726.40,9562726.40
regex_compile,9991168.00,9991168.00
regex_dna,16896000.00,16896000.00
regex_effbot,9267814.40,9267814.40
regex_v8,14880563.20,14880563.20
richards,9015500.80,9015500.80
richards_super,9018163.20,9018163.20
scimark_fft,9297510.40,9297510.40
scimark_lu,9344614.40,9344614.40
scimark_monte_carlo,9193267.20,9193267.20
scimark_sor,9269452.80,9269452.80
scimark_sparse_mat_mult,9962291.20,9962291.20
spectral_norm,8407859.20,8407859.20
sqlalchemy_declarative,30540800.00,30540800.00
sqlalchemy_imperative,30184448.00,30184448.00
sqlglot_normalize,13594419.20,13594419.20
sqlglot_optimize,13670400.00,13670400.00
sqlglot_parse,14457651.20,14457651.20
sqlglot_transpile,13698252.80,13698252.80
sqlite_synth,9413427.20,9413427.20
sympy_expand,50416844.80,50416844.80
sympy_integrate,49507737.60,49507737.60
sympy_str,51615744.00,51615744.00
sympy_sum,60319948.80,60319948.80
telco,8626176.00,8626176.00
tomli_loads,127522611.20,127522611.20
tornado_http,29364428.80,29364428.80
typing_runtime_protocols,10168729.60,10168729.60
unpack_sequence,10041753.60,10041753.60
unpickle,9176678.40,9176678.40
unpickle_list,9161523.20,9161523.20
unpickle_pure_python,9153740.80,9153740.80
xml_etree_generate,11702681.60,11702681.60
xml_etree_iterparse,10967654.40,10967654.40
xml_etree_parse,13654425.60,13654425.60
xml_etree_process,14018355.20,14018355.20
