Benchmark,Base,Changed
2to3,0.47391,0.47391
async_generators,0.58330,0.58330
async_tree_cpu_io_mixed,1.32,1.32
async_tree_eager,0.94271,0.94271
async_tree_eager_cpu_io_mixed,1.32,1.32
async_tree_eager_io,2.22,2.22
async_tree_eager_memoization,1.14,1.14
async_tree_io,2.19,2.19
async_tree_memoization,1.14,1.14
async_tree_none,0.93164,0.93164
asyncio_tcp,1.04,1.04
asyncio_tcp_ssl,3.54,3.54
asyncio_websockets,0.66674,0.66674
bench_mp_pool,0.03965,0.03965
bench_thread_pool,0.00143,0.00143
chameleon,0.01344,0.01344
chaos,0.17731,0.17731
comprehensions,0.00004153,0.00004153
coroutines,0.06543,0.06543
coverage,0.07548,0.07548
create_gc_cycles,0.00151,0.00151
crypto_pyaes,0.18041,0.18041
dask,0.78554,0.78554
deepcopy,0.00065336,0.00065336
deepcopy_memo,0.00007687,0.00007687
deepcopy_reduce,0.00000575,0.00000575
deltablue,0.01185,0.01185
docutils,4.34,4.34
dulwich_log,0.12732,0.12732
fannkuch,0.72119,0.72119
float,0.17946,0.17946
gc_traversal,0.00396,0.00396
generators,0.08020,0.08020
genshi_text,0.04543,0.04543
genshi_xml,0.09108,0.09108
go,0.38704,0.38704
hexiom,0.01501,0.01501
html5lib,0.13166,0.13166
json_dumps,0.01814,0.01814
json_loads,0.00003582,0.00003582
logging_format,0.00001460,0.00001460
logging_silent,0.00000030586,0.00000030586
logging_simple,0.00001325,0.00001325
mako,0.02404,0.02404
mdp,4.10,4.10
meteor_contest,0.15608,0.15608
nbody,0.21895,0.21895
nqueens,0.15494,0.15494
pathlib,0.02993,0.02993
pickle,0.00001205,0.00001205
pickle_dict,0.00003383,0.00003383
pickle_list,0.00000507,0.00000507
pickle_pure_python,0.00068458,0.00068458
pidigits,0.21882,0.21882
pprint_pformat,2.16,2.16
pyflate,1.05,1.05
python_startup,0.01250,0.01250
python_startup_no_site,0.00810,0.00810
raytrace,0.80798,0.80798
regex_compile,0.27538,0.27538
regex_dna,0.24912,0.24912
regex_effbot,0.00394,0.00394
regex_v8,0.03181,0.03181
richards,0.10810,0.10810
richards_super,0.13062,0.13062
scimark_fft,0.60960,0.60960
scimark_lu,0.25415,0.25415
scimark_monte_carlo,0.16989,0.16989
scimark_sor,0.30365,0.30365
scimark_sparse_mat_mult,0.00827,0.00827
spectral_norm,0.22244,0.22244
sqlalchemy_declarative,0.22545,0.22545
sqlalchemy_imperative,0.03699,0.03699
sqlglot_normalize,0.20536,0.20536
sqlglot_optimize,0.09800,0.09800
sqlglot_parse,0.00338,0.00338
sqlglot_transpile,0.00391,0.00391
sqlite_synth,0.00000420,0.00000420
sympy_expand,0.83839,0.83839
sympy_integrate,0.03448,0.03448
sympy_str,0.49687,0.49687
sympy_sum,0.27177,0.27177
telco,0.00942,0.00942
tomli_loads,3.94,3.94
tornado_http,0.22090,0.22090
typing_runtime_protocols,0.00080283,0.00080283
unpack_sequence,0.00000007029,0.00000007029
unpickle,0.00001883,0.00001883
unpickle_list,0.00000599,0.00000599
unpickle_pure_python,0.00049963,0.00049963
xml_etree_generate,0.13715,0.13715
xml_etree_iterparse,0.14939,0.14939
xml_etree_parse,0.20554,0.20554
xml_etree_process,0.11086,0.11086
