Benchmark,Base,Changed
2to3,0.47391,0.53145
async_generators,0.58330,0.79732
async_tree_cpu_io_mixed,1.32,0.89730
async_tree_eager,0.94271,0.51888
async_tree_eager_cpu_io_mixed,1.32,0.88515
async_tree_eager_io,2.22,1.13
async_tree_eager_memoization,1.14,0.63756
async_tree_io,2.19,1.13
async_tree_memoization,1.14,0.63827
async_tree_none,0.93164,0.52487
asyncio_tcp,1.04,0.94330
asyncio_tcp_ssl,3.54,3.05
asyncio_websockets,0.66674,0.65722
bench_mp_pool,0.03965,0.00585
bench_thread_pool,0.00143,0.00151
chameleon,0.01344,0.01220
chaos,0.17731,0.14365
comprehensions,0.00004153,0.00004238
coroutines,0.06543,0.09774
coverage,0.07548,1.12
create_gc_cycles,0.00151,0.00216
crypto_pyaes,0.18041,0.16303
deepcopy,0.00065336,0.00057757
deepcopy_memo,0.00007687,0.00005645
deepcopy_reduce,0.00000575,0.00000534
deltablue,0.01185,0.00718
docutils,4.34,5.85
dulwich_log,0.12732,0.12692
fannkuch,0.72119,0.71235
float,0.17946,0.16144
generators,0.08020,0.09770
genshi_text,0.04543,0.06856
genshi_xml,0.09108,0.10674
go,0.38704,0.21543
hexiom,0.01501,0.00989
html5lib,0.13166,0.10507
json_dumps,0.01814,0.01852
json_loads,0.00003582,0.00004419
logging_format,0.00001460,0.00001219
logging_silent,0.00000030586,0.00000013621
logging_simple,0.00001325,0.00001084
mako,0.02404,0.02343
mdp,4.10,4.54
meteor_contest,0.15608,0.15794
nbody,0.21895,0.22617
nqueens,0.15494,0.16271
pathlib,0.02993,0.03275
pickle,0.00001205,0.00001823
pickle_dict,0.00003383,0.00003442
pickle_list,0.00000507,0.00000506
pickle_pure_python,0.00068458,0.00047537
pidigits,0.21882,0.22892
pprint_pformat,2.16,2.21
pyflate,1.05,0.80439
python_startup,0.01250,0.01314
python_startup_no_site,0.00810,0.00854
raytrace,0.80798,0.62446
regex_compile,0.27538,0.29482
regex_dna,0.24912,0.24164
regex_effbot,0.00394,0.00414
regex_v8,0.03181,0.03200
richards,0.10810,0.05671
richards_super,0.13062,0.07500
scimark_fft,0.60960,0.57679
scimark_lu,0.25415,0.21248
scimark_monte_carlo,0.16989,0.15517
scimark_sor,0.30365,0.22021
scimark_sparse_mat_mult,0.00827,0.00788
spectral_norm,0.22244,0.18173
sqlglot_normalize,0.20536,0.22498
sqlglot_optimize,0.09800,0.09620
sqlglot_parse,0.00338,0.00307
sqlglot_transpile,0.00391,0.00348
sqlite_synth,0.00000420,0.00000447
sympy_expand,0.83839,0.76242
sympy_integrate,0.03448,0.03413
sympy_str,0.49687,0.48957
sympy_sum,0.27177,0.29164
telco,0.00942,0.01095
tomli_loads,3.94,3.65
tornado_http,0.22090,0.18766
typing_runtime_protocols,0.00080283,0.00087491
unpack_sequence,0.00000007029,0.00000006259
unpickle,0.00001883,0.00002582
unpickle_list,0.00000599,0.00000730
unpickle_pure_python,0.00049963,0.00037268
xml_etree_generate,0.13715,0.12266
xml_etree_iterparse,0.14939,0.12931
xml_etree_parse,0.20554,0.18674
xml_etree_process,0.11086,0.09775
