Benchmark,Base,Changed
2to3,0.47391,0.30951
async_generators,0.58330,0.44237
async_tree_cpu_io_mixed,1.32,0.87574
async_tree_eager,0.94271,0.62087
async_tree_eager_cpu_io_mixed,1.32,0.88251
async_tree_eager_io,2.22,1.39
async_tree_eager_memoization,1.14,0.74562
async_tree_io,2.19,1.39
async_tree_memoization,1.14,0.74653
async_tree_none,0.93164,0.62057
asyncio_tcp,1.04,0.58165
asyncio_tcp_ssl,3.54,2.16
asyncio_websockets,0.66674,0.67414
bench_mp_pool,0.03965,0.00652
bench_thread_pool,0.00143,0.00115
chameleon,0.01344,0.00819
chaos,0.17731,0.08045
comprehensions,0.00004153,0.00003073
coroutines,0.06543,0.03113
create_gc_cycles,0.00151,0.00128
crypto_pyaes,0.18041,0.08933
dask,0.78554,0.71094
deepcopy,0.00065336,0.00040956
deepcopy_memo,0.00007687,0.00004410
deepcopy_reduce,0.00000575,0.00000368
deltablue,0.01185,0.00397
docutils,4.34,3.06
dulwich_log,0.12732,0.08585
fannkuch,0.72119,0.44640
float,0.17946,0.09221
gc_traversal,0.00396,0.00408
generators,0.08020,0.06445
genshi_text,0.04543,0.02627
genshi_xml,0.09108,0.05875
go,0.38704,0.15854
hexiom,0.01501,0.00731
html5lib,0.13166,0.06866
json_dumps,0.01814,0.01210
json_loads,0.00003582,0.00002917
logging_format,0.00001460,0.00000814
logging_silent,0.00000030586,0.00000011949
logging_simple,0.00001325,0.00000742
mako,0.02404,0.01201
mdp,4.10,3.16
meteor_contest,0.15608,0.12504
nbody,0.21895,0.11620
nqueens,0.15494,0.09629
pathlib,0.02993,0.02426
pickle,0.00001205,0.00001210
pickle_dict,0.00003383,0.00003192
pickle_list,0.00000507,0.00000433
pickle_pure_python,0.00068458,0.00034320
pidigits,0.21882,0.21471
pprint_pformat,2.16,1.68
pyflate,1.05,0.48685
python_startup,0.01250,0.01065
python_startup_no_site,0.00810,0.00796
raytrace,0.80798,0.34678
regex_compile,0.27538,0.15479
regex_dna,0.24912,0.22099
regex_effbot,0.00394,0.00388
regex_v8,0.03181,0.02495
richards,0.10810,0.04983
richards_super,0.13062,0.06191
scimark_fft,0.60960,0.40582
scimark_lu,0.25415,0.13562
scimark_monte_carlo,0.16989,0.08063
scimark_sor,0.30365,0.13818
scimark_sparse_mat_mult,0.00827,0.00477
spectral_norm,0.22244,0.12668
sqlalchemy_declarative,0.22545,0.16397
sqlalchemy_imperative,0.03699,0.02545
sqlglot_normalize,0.20536,0.12847
sqlglot_optimize,0.09800,0.06226
sqlglot_parse,0.00338,0.00174
sqlglot_transpile,0.00391,0.00205
sqlite_synth,0.00000420,0.00000279
sympy_expand,0.83839,0.55627
sympy_integrate,0.03448,0.02485
sympy_str,0.49687,0.34835
sympy_sum,0.27177,0.20961
telco,0.00942,0.00766
tomli_loads,3.94,2.40
typing_runtime_protocols,0.00080283,0.00056818
unpack_sequence,0.00000007029,0.00000005213
unpickle,0.00001883,0.00001554
unpickle_list,0.00000599,0.00000563
unpickle_pure_python,0.00049963,0.00024299
xml_etree_generate,0.13715,0.09764
xml_etree_iterparse,0.14939,0.12654
xml_etree_parse,0.20554,0.18470
xml_etree_process,0.11086,0.06687
